work_order_id,appointment_id,customer_id,vehicle_id,opened_at,closed_at,status,advisor,assigned_tech,priority,odometer,symptom,cause,correction,labor_hours,labor_sale,parts_sale,shop_supplies,sublet_sale,discount,tax,total,approval_state,payment_state,invoice_number,tags,notes
WO-401175,,CUST-100281,VEH-202335,2024-07-15T21:29,2024-07-16T07:29,invoiced,Emma Moore,Logan White,urgent,195603,Vibration,P0420 stored,Replaced hose and topped coolant,1.5,252.36,2271.35,99.14,0,0,131.14,2753.99,approved,written_off,INV-501175,"upsell, fleet",Needs comeback follow-up
WO-401176,APPT-300338,CUST-100990,VEH-200616,2024-06-16T06:01,2024-06-19T11:01,awaiting_approval,Owen Rodriguez,,urgent,327085,CEL on,Coolant leak at upper hose,Replaced hose and topped coolant,2.7,439.33,1160.73,5.24,0,0,80.27,1685.57,approved,unpaid,,pm,Fleet billing
WO-401177,,CUST-100099,VEH-201862,2024-11-26T20:54,2024-11-27T05:54,invoiced,Avery Nguyen,Liam Nelson,normal,276231,Pulling left,Coolant leak at upper hose,Replaced front pads/rotors,10.7,1773.85,916.97,5.74,0,0,134.83,2831.39,declined,paid,INV-501177,"upsell, pm",
WO-401178,APPT-300634,CUST-100317,VEH-202545,2024-02-07T00:34,,invoiced,Evelyn Martinez,Avery Miller,high,190027,Vibration,Coolant leak at upper hose,Replaced front pads/rotors,0.8,117.96,1743.76,6.57,0,59.59,90.44,1899.14,approved,partial,INV-501178,"waiter, pm, brakes",Needs comeback follow-up
WO-401179,,CUST-101343,VEH-201851,2025-06-21T20:33,2025-06-26T04:33,invoiced,Mason Martin,Jack Brown,low,133983,Grinding brakes,Pads below spec,Recommended tires,8.3,1519.62,2324.21,138.11,0,0,199.1,4181.04,approved,unpaid,INV-501179,"waiter, brakes, comeback-risk",Customer approved by text
WO-401180,APPT-300385,CUST-101274,VEH-201138,2025-11-04T12:10,2025-11-07T21:10,closed,Mason Flores,Finn Thompson,low,50585,ABS light,Front tires cupped,Diagnosed wiring fault,5.3,813.74,60.21,0.7,0,0,43.73,918.38,pending,written_off,INV-501180,,
WO-401181,,CUST-101794,VEH-202341,2024-11-26T06:40,2024-11-30T05:40,completed,Mikayla Taylor,,urgent,262171,Vibration,,Performed PM service,11.6,1954.87,316.6,21.7,0,0,114.66,2407.83,approved,paid,INV-501181,,Legacy WO imported from old DMS
WO-401182,,CUST-101435,VEH-202586,2025-12-24T17:33,2025-12-26T06:33,invoiced,Abigail Green,Avery Harris,high,224706,Oil life low,Loose tie rod,Performed PM service,5.1,830.19,2197.27,91.5,0,0,155.95,3274.91,pending,partial,,"diag, brakes, fleet",
WO-401183,,CUST-100922,VEH-201184,2024-06-16T15:39,2024-06-17T05:39,awaiting_approval,Aiden Wilson,Charlotte Harris,low,194240,Vibration,Front tires cupped,Diagnosed wiring fault,1.9,307.44,2285.95,37.16,218.45,0,142.45,2991.45,not_required,paid,INV-501183,"comeback-risk, brakes, waiter",Legacy WO imported from old DMS
WO-401184,APPT-300616,CUST-100289,VEH-200670,2024-10-10T07:56,2024-10-13T14:56,invoiced,Aiden Ramirez,,normal,401213,Overheating,Front tires cupped,,3.5,547.05,98.23,5.06,0,0,32.52,682.86,declined,paid,INV-501184,"upsell, waiter",Needs comeback follow-up
WO-401185,,CUST-100884,VEH-201387,2025-02-02T22:49,2025-02-04T15:49,closed,Scarlett Williams,Layla Anderson,high,295222,PM due,Coolant leak at upper hose,Replaced hose and topped coolant,2.5,407.02,1337.76,17.63,0,0,88.12,1850.53,pending,written_off,,"waiter, brakes, comeback-risk",Customer approved by text
WO-401186,,CUST-101033,VEH-201753,2024-09-03T10:31,2024-09-07T12:31,closed,Kaitlyn Davis,Mason Thompson,high,212864,Oil life low,Coolant leak at upper hose,Diagnosed wiring fault,6.8,977.74,1965.41,79.75,0,0,151.15,3174.05,not_required,written_off,INV-501186,fleet,
WO-401187,APPT-300780,CUST-101629,VEH-201010,2024-01-01T16:51,,completed,Logan Allen,Elijah Clark,low,43528,CEL on,P0420 stored,Recommended tires,3.7,583.59,989.61,4.93,0,0,78.91,1657.04,declined,partial,INV-501187,,Customer approved by text
WO-401188,,CUST-100893,VEH-200118,2024-03-02T17:28,,closed,Mila Baker,Finn Wright,high,68928,Pulling left,Front tires cupped,Replaced hose and topped coolant,15.5,2747.96,574.52,36.85,0,0,167.97,3527.3,approved,partial,INV-501188,"brakes, waiter, comeback-risk",Needs comeback follow-up
WO-401189,APPT-300697,CUST-100637,VEH-200380,2024-08-24T03:21,,awaiting_approval,Finn Young,Jade White,high,148295,Grinding brakes,Battery failed load test,Replaced front pads/rotors,12.5,1866.51,471.84,11.28,0,0,117.48,2467.11,not_required,partial,INV-501189,,Customer approved by text
WO-401190,,CUST-100186,VEH-201768,2026-03-28T18:03,2026-03-30T14:03,closed,Lucas Nelson,Abigail Lee,urgent,293660,Overheating,,Installed battery,5.8,805.55,98.82,0.14,0,0,45.23,949.74,approved,paid,INV-501190,"waiter, brakes",Customer approved by text
WO-401191,,CUST-101717,VEH-201504,2024-08-02T03:09,2024-08-03T04:09,closed,Maya Adams,Nora Anderson,high,280549,No crank,Coolant leak at upper hose,Replaced hose and topped coolant,13.9,2008.99,2074.2,116.85,0,0,210.0,4410.04,approved,unpaid,INV-501191,"pm, waiter, comeback-risk",Customer approved by text
WO-401192,APPT-300446,CUST-101273,VEH-202384,2025-02-17T01:32,2025-02-19T06:32,completed,Mikayla Garcia,James Flores,low,411687,Oil life low,P0420 stored,Diagnosed wiring fault,7.4,1120.77,1525.45,105.28,0,0,137.58,2889.08,declined,partial,INV-501192,fleet,Customer approved by text
WO-401193,APPT-300505,CUST-100339,VEH-200663,2026-02-14T11:06,2026-02-18T14:06,invoiced,Logan Clark,Leo Harris,high,408100,Vibration,Battery failed load test,Diagnosed wiring fault,15.9,2063.57,1725.09,103.38,0,0,194.6,4086.64,pending,written_off,INV-501193,"pm, waiter",
WO-401194,,CUST-100901,VEH-200241,2025-07-28T07:20,2025-07-31T11:20,closed,Mikayla Thomas,Nora Clark,urgent,200443,Oil life low,,Performed PM service,6.5,1097.51,1286.48,87.13,0,0,123.56,2594.68,not_required,paid,INV-501194,,
WO-401195,,CUST-100891,VEH-202088,2026-03-30T21:24,2026-04-01T09:24,completed,Liam Davis,Oliver Nguyen,normal,225534,Grinding brakes,,Diagnosed wiring fault,2.2,359.9,751.95,49.61,0,3.54,57.9,1215.82,approved,unpaid,INV-501195,"waiter, comeback-risk, brakes",
WO-401196,,CUST-100718,VEH-200991,2024-03-25T05:33,2024-03-30T05:33,completed,Mila Young,James Nguyen,high,354222,PM due,Front tires cupped,Installed battery,3.8,666.35,2307.17,17.5,0,0,149.55,3140.57,pending,partial,INV-501196,"fleet, waiter",Needs comeback follow-up
WO-401197,,CUST-101523,VEH-201475,2025-05-09T03:03,2025-05-13T22:03,closed,Noah Martinez,Aiden Young,urgent,322015,PM due,Battery failed load test,Installed battery,13.2,2198.81,877.41,32.35,0,0,155.43,3264.0,pending,written_off,INV-501197,brakes,Needs comeback follow-up
WO-401198,,CUST-100816,VEH-201527,2024-10-09T14:43,2024-10-09T15:43,completed,Noah Ramirez,,high,343428,No crank,Coolant leak at upper hose,Performed PM service,1.3,173.82,664.86,11.34,0,11.98,41.9,879.94,declined,unpaid,INV-501198,,Legacy WO imported from old DMS
WO-401199,APPT-300240,CUST-100677,VEH-201196,2025-11-27T01:36,2025-12-01T09:36,invoiced,Mikayla Young,Charlotte Garcia,normal,13501,No crank,Battery failed load test,Replaced hose and topped coolant,15.9,2155.66,1187.78,20.04,0,0,168.17,3531.65,declined,unpaid,INV-501199,"upsell, pm",Needs comeback follow-up
WO-401200,APPT-300067,CUST-100420,VEH-200730,2025-09-22T17:38,2025-09-27T02:38,invoiced,Noah Clark,Mason Hill,low,212585,Overheating,Front tires cupped,Replaced front pads/rotors,4.9,871.53,2210.65,109.2,0,0,159.57,3350.95,not_required,written_off,INV-501200,fleet,Legacy WO imported from old DMS
WO-401201,,CUST-100188,VEH-201656,2025-12-20T05:41,2025-12-21T17:41,closed,Jack Wright,Ava Martinez,normal,116857,Vibration,P0420 stored,Diagnosed wiring fault,13.3,2144.5,2029.8,4.82,0,0,208.96,4388.08,declined,unpaid,INV-501201,"waiter, diag, comeback-risk",
WO-401202,,CUST-100116,VEH-201167,2025-06-23T15:00,,awaiting_approval,Mila Robinson,Wyatt Torres,low,32947,Oil life low,Battery failed load test,Installed battery,3.0,531.89,1615.55,85.46,0,0,111.65,2344.55,pending,partial,INV-501202,"waiter, pm, diag",Needs comeback follow-up
WO-401203,,CUST-100999,VEH-200840,2025-12-15T17:49,2025-12-20T05:49,awaiting_approval,Sophia Perez,Lucas White,normal,331176,Oil life low,P0420 stored,Recommended tires,6.7,1210.51,264.21,18.98,0,0,74.69,1568.39,not_required,partial,INV-501203,"waiter, brakes",Fleet billing
WO-401204,,CUST-101014,VEH-200800,2024-01-17T09:46,2024-01-20T04:46,invoiced,Logan Smith,Layla Garcia,urgent,373916,Grinding brakes,Battery failed load test,Replaced front pads/rotors,13.3,2077.65,1722.74,42.74,0,0,192.16,4035.29,not_required,unpaid,,waiter,Fleet billing
WO-401205,APPT-300054,CUST-101460,VEH-201794,2023-12-30T03:47,,closed,Jade Walker,Owen Ramirez,high,386427,Vibration,Loose tie rod,Replaced hose and topped coolant,9.0,1484.04,59.54,3.63,580.35,0,106.38,2233.94,declined,unpaid,INV-501205,waiter,
WO-401206,,CUST-100315,VEH-202291,2024-10-26T15:23,2024-10-28T09:23,closed,Jade Harris,Mikayla Rodriguez,low,37494,Grinding brakes,Pads below spec,Diagnosed wiring fault,5.8,815.0,782.2,22.39,312.52,0,96.61,2028.72,declined,partial,INV-501206,"waiter, upsell, diag",Customer approved by text
WO-401207,APPT-300579,CUST-100967,VEH-201797,2025-11-11T21:05,2025-11-12T06:05,completed,Liam Allen,Scarlett Baker,low,57300,Oil life low,Loose tie rod,Installed battery,9.9,1219.95,227.11,6.79,0,0,72.69,1526.54,approved,written_off,INV-501207,waiter,Customer approved by text
WO-401208,APPT-300037,CUST-100165,VEH-200375,2026-03-16T20:00,2026-03-19T13:00,completed,Oliver Robinson,Finn King,high,59177,Grinding brakes,Front tires cupped,Replaced front pads/rotors,8.8,1313.2,55.56,0.49,0,80.3,64.45,1353.4,not_required,unpaid,INV-501208,,Legacy WO imported from old DMS
WO-401209,,CUST-101480,VEH-201908,2024-05-24T17:09,,invoiced,Leo Brown,,urgent,85297,Overheating,Coolant leak at upper hose,,5.3,767.36,1825.36,42.18,0,0,131.74,2766.64,declined,partial,INV-501209,comeback-risk,
WO-401210,APPT-300790,CUST-100590,VEH-200522,2025-09-03T12:25,2025-09-04T17:25,awaiting_approval,Charlotte Williams,James Nguyen,normal,400498,No crank,Pads below spec,Recommended tires,6.9,1258.83,1086.17,60.51,0,0,120.28,2525.79,declined,partial,INV-501210,"pm, comeback-risk, diag",Fleet billing
WO-401211,,CUST-100877,VEH-200957,2025-08-12T19:17,2025-08-15T13:17,invoiced,Ava Allen,Charlotte Rodriguez,urgent,274227,Oil life low,Pads below spec,,3.1,470.69,1359.53,17.17,0,34.35,90.65,1903.69,pending,unpaid,,"diag, comeback-risk",Fleet billing
WO-401212,,CUST-101337,VEH-202575,2024-11-07T08:36,2024-11-08T11:36,invoiced,Abigail Scott,Owen Young,urgent,50177,ABS light,,Performed PM service,4.0,641.52,2387.14,82.46,0,0,155.56,3266.68,declined,written_off,INV-501212,"pm, waiter",Legacy WO imported from old DMS
WO-401213,,CUST-100537,VEH-201685,2025-09-21T21:34,2025-09-24T04:34,completed,Mila Lee,,normal,253623,Grinding brakes,Coolant leak at upper hose,Recommended tires,11.8,2015.91,1981.09,67.48,264.95,0,216.47,4545.9,approved,written_off,INV-501213,,
WO-401214,APPT-300463,CUST-101372,VEH-202459,2025-05-28T10:59,2025-06-01T10:59,closed,Evelyn Adams,Nora Green,high,35104,Overheating,Coolant leak at upper hose,Recommended tires,7.8,1380.7,1157.62,59.92,24.51,0,131.14,2753.89,declined,paid,INV-501214,"diag, brakes, waiter",
WO-401215,APPT-300589,CUST-100470,VEH-201043,2024-06-16T01:31,2024-06-19T00:31,closed,Jade Wright,Riley Martinez,normal,141209,Vibration,Loose tie rod,Replaced hose and topped coolant,4.2,483.82,1088.83,20.34,0,0,79.65,1672.64,approved,partial,INV-501215,"comeback-risk, fleet",Needs comeback follow-up
WO-401216,,CUST-101083,VEH-200622,2024-10-31T11:49,2024-11-02T02:49,closed,Nora Smith,Oliver Clark,normal,233951,Overheating,,Recommended tires,8.4,1058.84,947.89,31.83,521.78,0,128.02,2688.36,declined,unpaid,INV-501216,pm,Fleet billing
WO-401217,APPT-300321,CUST-100619,VEH-200886,2024-09-30T20:50,2024-10-04T16:50,closed,Ella Torres,Aiden Flores,low,103274,Oil life low,Coolant leak at upper hose,Diagnosed wiring fault,0.6,83.3,1502.74,37.38,0,2.36,81.05,1702.11,pending,partial,INV-501217,"comeback-risk, brakes, waiter",Customer approved by text
WO-401218,APPT-300010,CUST-101399,VEH-200204,2026-02-04T12:48,2026-02-07T05:48,awaiting_approval,Ethan Walker,Logan Wilson,low,136159,Overheating,Loose tie rod,Diagnosed wiring fault,1.6,287.24,2200.24,5.75,504.39,0,149.88,3147.5,declined,paid,INV-501218,brakes,
WO-401219,APPT-300673,CUST-100362,VEH-202140,2025-09-30T07:50,2025-10-05T05:50,closed,Riley Young,Logan Davis,low,264886,Pulling left,Battery failed load test,Replaced front pads/rotors,3.8,699.6,833.37,49.05,0,110.35,73.58,1545.25,declined,paid,INV-501219,"brakes, upsell, comeback-risk",Legacy WO imported from old DMS
WO-401220,,CUST-101079,VEH-201788,2024-12-11T11:27,,on_hold,Jack Lee,Mason Allen,normal,21168,No crank,Loose tie rod,Installed battery,3.5,422.97,2234.41,174.85,0,0,141.61,2973.84,approved,written_off,INV-501220,"upsell, waiter",Legacy WO imported from old DMS
WO-401221,APPT-300396,CUST-100697,VEH-202466,2024-02-04T04:40,2024-02-08T05:40,invoiced,Mateo Anderson,Liam Jones,urgent,91818,PM due,,Diagnosed wiring fault,12.7,1892.1,1715.16,66.71,0,0,183.7,3857.67,declined,paid,INV-501221,,Customer approved by text
WO-401222,,CUST-100945,VEH-200260,2025-03-23T07:14,2025-03-25T23:14,invoiced,James Walker,Evelyn Scott,high,244369,Pulling left,P0420 stored,Installed battery,10.3,1712.35,854.19,47.72,0,0,130.71,2744.97,declined,partial,INV-501222,,
WO-401223,APPT-300783,CUST-101166,VEH-201568,2025-02-19T21:12,2025-02-21T05:12,closed,Logan Wright,Finn Nguyen,normal,34186,Overheating,P0420 stored,Performed PM service,2.8,343.93,2390.84,103.5,0,0,141.91,2980.18,not_required,written_off,,"diag, comeback-risk",Legacy WO imported from old DMS
WO-401224,,CUST-100086,VEH-201866,2025-01-03T05:05,2025-01-07T11:05,invoiced,Abigail Anderson,Lucas Baker,high,395068,Vibration,Coolant leak at upper hose,Recommended tires,15.7,2533.67,429.72,21.7,0,0,149.25,3134.34,approved,partial,INV-501224,"diag, brakes, pm",Customer approved by text
WO-401225,,CUST-100429,VEH-200404,2025-04-02T03:46,2025-04-06T03:46,completed,Ella Young,Charlotte Robinson,urgent,357483,Grinding brakes,,,14.1,1694.74,884.04,1.41,0,0,129.01,2709.2,approved,partial,INV-501225,,
WO-401226,APPT-300196,CUST-101049,VEH-201371,2025-12-03T14:16,,awaiting_approval,Jade Hill,Amelia Thomas,low,67834,PM due,P0420 stored,Recommended tires,7.1,924.98,2237.51,34.02,0,0,159.83,3356.34,pending,partial,INV-501226,"diag, fleet",Customer approved by text
WO-401227,,CUST-100157,VEH-201752,2024-07-01T05:19,2024-07-05T18:19,completed,Mason Martin,Maya Sanchez,high,236239,PM due,Coolant leak at upper hose,Recommended tires,3.5,550.88,1699.35,15.35,0,0,113.28,2378.86,approved,written_off,INV-501227,diag,Legacy WO imported from old DMS
WO-401228,APPT-300105,CUST-101459,VEH-201531,2026-02-20T12:24,2026-02-24T23:24,completed,Leo Smith,Mia Adams,low,418964,Overheating,Coolant leak at upper hose,Replaced hose and topped coolant,7.0,1208.38,1895.32,1.44,0,0,155.26,3260.4,declined,paid,INV-501228,fleet,Needs comeback follow-up
WO-401229,,CUST-100578,VEH-200413,2024-08-09T02:22,2024-08-10T20:22,invoiced,Mia Allen,Elijah Smith,high,349035,PM due,P0420 stored,Recommended tires,14.3,1811.01,1244.44,66.62,0,0,156.1,3278.17,approved,written_off,INV-501229,"diag, fleet, pm",Customer approved by text
WO-401230,APPT-300658,CUST-101109,VEH-200445,2025-04-03T07:03,2025-04-08T05:03,awaiting_approval,Nora Anderson,Leo Nelson,high,191623,ABS light,P0420 stored,Installed battery,10.9,1461.12,1500.43,115.91,0,0,153.87,3231.33,approved,paid,INV-501230,"upsell, waiter, comeback-risk",Fleet billing
WO-401231,APPT-300764,CUST-100643,VEH-200461,2025-12-30T18:30,,closed,Hudson King,Lucas Martinez,urgent,213530,Oil life low,,Diagnosed wiring fault,14.1,2258.63,1703.74,81.0,0,0,202.17,4245.54,declined,partial,INV-501231,"waiter, comeback-risk",Customer approved by text
WO-401232,,CUST-100776,VEH-202283,2025-04-07T12:33,2025-04-08T10:33,awaiting_approval,Kaitlyn Martin,,normal,281709,Oil life low,Coolant leak at upper hose,Replaced front pads/rotors,4.4,678.95,1168.43,28.7,0,0,93.8,1969.88,approved,partial,INV-501232,,Legacy WO imported from old DMS
WO-401233,,CUST-100413,VEH-200255,2024-11-23T13:25,2024-11-27T22:25,completed,Ella Baker,Kaitlyn Baker,normal,273285,PM due,P0420 stored,Replaced hose and topped coolant,8.7,1598.22,949.02,53.5,0,0,130.04,2730.78,declined,unpaid,INV-501233,fleet,Fleet billing
WO-401234,,CUST-100649,VEH-201260,2024-04-08T14:14,2024-04-11T15:14,closed,Aiden Nguyen,Layla Garcia,high,236482,No crank,,Diagnosed wiring fault,5.1,682.22,201.89,7.5,0,0,44.58,936.19,pending,written_off,,,
WO-401235,APPT-300227,CUST-100731,VEH-200665,2025-07-11T00:36,,on_hold,Lucas Martin,Riley Young,normal,46986,CEL on,Coolant leak at upper hose,Performed PM service,12.7,2050.65,1058.3,3.79,0,0,155.64,3268.38,approved,unpaid,INV-501235,"fleet, waiter, upsell",Fleet billing
WO-401236,,CUST-100118,VEH-201648,2024-09-03T11:41,2024-09-06T05:41,awaiting_approval,Aiden Wright,Edward Anderson,low,151384,Vibration,Pads below spec,Recommended tires,3.1,542.79,503.48,40.27,0,0,54.33,1140.87,not_required,paid,INV-501236,upsell,Needs comeback follow-up
WO-401237,,CUST-101329,VEH-200641,2024-10-22T18:20,2024-10-25T18:20,completed,Liam Miller,Nora Flores,normal,248118,Pulling left,P0420 stored,Recommended tires,8.8,1072.42,405.55,1.17,0,0,73.96,1553.1,pending,written_off,INV-501237,"brakes, diag, fleet",Legacy WO imported from old DMS
WO-401238,,CUST-101377,VEH-202497,2025-04-27T14:33,2025-05-01T16:33,awaiting_approval,Liam Ramirez,,normal,288377,Overheating,Front tires cupped,Diagnosed wiring fault,2.0,323.33,497.95,19.75,0,135.54,35.27,740.76,approved,unpaid,INV-501238,"diag, waiter, pm",Customer approved by text
WO-401239,APPT-300838,CUST-101265,VEH-202467,2026-04-07T11:19,2026-04-08T19:19,completed,Wyatt Thomas,Mikayla Baker,normal,401104,Pulling left,Loose tie rod,Replaced hose and topped coolant,6.8,932.96,1165.4,75.57,0,0,108.7,2282.63,pending,partial,INV-501239,"pm, upsell, waiter",Needs comeback follow-up
WO-401240,,CUST-101632,VEH-202182,2025-11-14T20:02,2025-11-19T17:02,completed,Aiden Scott,Avery Taylor,normal,114073,Pulling left,P0420 stored,Replaced front pads/rotors,8.1,1277.01,1098.67,67.04,0,0,122.14,2564.86,not_required,partial,INV-501240,"diag, upsell, brakes",Customer approved by text
WO-401241,APPT-300706,CUST-101615,VEH-201230,2024-09-28T16:26,2024-09-29T17:26,invoiced,Mikayla Johnson,Aiden Ramirez,high,17339,Overheating,Loose tie rod,Recommended tires,8.3,1420.97,1908.79,32.2,0,0,168.1,3530.06,pending,unpaid,INV-501241,"comeback-risk, pm",
WO-401242,APPT-300874,CUST-100540,VEH-200979,2024-07-26T21:52,2024-07-27T18:52,awaiting_approval,Aiden Nguyen,Ella Wilson,high,172170,CEL on,Battery failed load test,Installed battery,10.1,1270.24,790.39,44.94,0,128.21,98.87,2076.23,pending,partial,INV-501242,upsell,Fleet billing
WO-401243,APPT-300525,CUST-101615,VEH-202332,2026-01-31T21:47,,invoiced,Mikayla Rodriguez,Hudson Torres,urgent,253747,Overheating,Loose tie rod,Installed battery,11.1,1415.4,140.95,6.51,0,0,78.14,1641.0,approved,paid,INV-501243,"brakes, diag, pm",Customer approved by text
WO-401244,,CUST-100131,VEH-202420,2025-11-21T07:35,,on_hold,Amelia Torres,Owen Johnson,normal,251069,Oil life low,P0420 stored,Recommended tires,13.4,1549.31,1423.16,21.23,0,0,149.69,3143.39,declined,paid,INV-501244,,Legacy WO imported from old DMS
WO-401245,APPT-300589,CUST-100983,VEH-200096,2025-01-10T17:26,2025-01-13T02:26,completed,Riley Johnson,Sophia Lee,high,249240,Oil life low,Coolant leak at upper hose,Recommended tires,8.2,1226.07,1500.44,4.65,0,0,136.56,2867.72,not_required,unpaid,INV-501245,,Needs comeback follow-up
WO-401246,APPT-300394,CUST-100757,VEH-200798,2026-02-22T00:02,2026-02-22T21:02,closed,Riley Flores,Logan Robinson,high,192739,No crank,Front tires cupped,Performed PM service,14.6,2073.5,25.06,1.99,0,0,105.03,2205.58,declined,unpaid,INV-501246,"pm, waiter",Legacy WO imported from old DMS
WO-401247,APPT-300471,CUST-101075,VEH-201330,2026-01-18T01:09,2026-01-19T09:09,closed,Oliver Williams,Owen Ramirez,urgent,75889,Oil life low,Pads below spec,Installed battery,15.7,1867.2,1100.14,71.55,0,0,151.94,3190.83,approved,paid,INV-501247,,Needs comeback follow-up
WO-401248,,CUST-100884,VEH-201161,2025-03-05T23:06,2025-03-08T17:06,invoiced,Finn Young,Ava King,low,166497,ABS light,Pads below spec,,15.8,2456.24,1549.01,120.44,0,0,206.28,4331.97,pending,unpaid,INV-501248,"comeback-risk, upsell, pm",Legacy WO imported from old DMS
WO-401249,,CUST-100406,VEH-200081,2026-03-27T05:18,2026-03-30T12:18,invoiced,Scarlett Rodriguez,Edward Davis,high,216801,Overheating,,Performed PM service,7.3,1318.48,285.53,9.04,709.93,24.15,114.94,2413.77,pending,written_off,INV-501249,"upsell, pm, diag",Fleet billing
WO-401250,,CUST-101661,VEH-200593,2025-09-02T03:20,2025-09-06T12:20,closed,Mason Green,Wyatt Torres,high,57170,CEL on,Pads below spec,Installed battery,8.9,1235.38,2244.73,113.58,0,0,179.68,3773.37,approved,written_off,INV-501250,,Legacy WO imported from old DMS
WO-401251,,CUST-101753,VEH-202199,2024-03-12T01:48,2024-03-16T05:48,closed,Owen Anderson,Finn Thomas,high,72256,CEL on,Coolant leak at upper hose,Installed battery,1.2,147.46,1183.52,22.71,457.71,107.58,85.19,1789.01,not_required,partial,INV-501251,"waiter, pm",Legacy WO imported from old DMS
WO-401252,,CUST-100793,VEH-200169,2025-11-23T20:57,2025-11-25T12:57,closed,Logan Robinson,Riley Ramirez,urgent,194680,Overheating,Pads below spec,Installed battery,13.5,1732.31,1039.95,20.0,0,136.37,132.79,2788.68,not_required,paid,INV-501252,brakes,Needs comeback follow-up
WO-401253,,CUST-101385,VEH-202265,2024-08-19T22:31,2024-08-21T04:31,awaiting_approval,Aiden Green,,normal,15417,Overheating,Coolant leak at upper hose,Replaced front pads/rotors,13.4,2083.81,1176.48,21.85,725.28,0,200.37,4207.79,approved,written_off,INV-501253,comeback-risk,Customer approved by text
WO-401254,APPT-300714,CUST-100981,VEH-200022,2024-07-14T07:47,2024-07-15T04:47,closed,Kaitlyn Wright,,normal,296869,Grinding brakes,Coolant leak at upper hose,Diagnosed wiring fault,7.2,1283.77,1241.96,91.59,0,0,130.87,2748.19,approved,partial,INV-501254,"brakes, fleet",Legacy WO imported from old DMS
WO-401255,APPT-300491,CUST-100467,VEH-202287,2024-07-17T06:12,2024-07-21T06:12,awaiting_approval,Edward Young,Nora Ramirez,urgent,352598,No crank,Loose tie rod,Replaced hose and topped coolant,11.6,1950.87,2283.13,174.38,0,117.74,214.53,4505.17,not_required,unpaid,INV-501255,,
WO-401256,APPT-300761,CUST-101702,VEH-200874,2023-11-06T23:54,2023-11-10T06:54,closed,Abigail Brown,Evelyn Lee,high,242518,Overheating,Pads below spec,Replaced front pads/rotors,3.6,640.29,305.55,7.94,0,0,47.69,1001.47,declined,paid,INV-501256,"fleet, pm, comeback-risk",Legacy WO imported from old DMS
WO-401257,APPT-300126,CUST-100076,VEH-200719,2024-07-13T07:09,2024-07-17T00:09,closed,Jade Thomas,,normal,341821,Vibration,Coolant leak at upper hose,Replaced front pads/rotors,9.2,1240.31,1077.31,76.87,0,56.9,116.88,2454.47,approved,paid,INV-501257,"diag, brakes, waiter",
WO-401258,APPT-300553,CUST-100128,VEH-202221,2024-10-25T06:15,2024-10-27T01:15,completed,Liam Wilson,,low,384399,Pulling left,Pads below spec,Replaced hose and topped coolant,5.1,894.42,791.35,55.75,0,0,87.08,1828.6,not_required,written_off,INV-501258,brakes,Fleet billing
WO-401259,,CUST-101380,VEH-201265,2024-03-09T19:28,2024-03-11T21:28,closed,Noah Hill,Harper Wright,urgent,69240,Overheating,P0420 stored,Replaced hose and topped coolant,3.5,523.56,1219.4,34.11,0,0,88.85,1865.92,declined,unpaid,INV-501259,"fleet, diag",Customer approved by text
WO-401260,,CUST-100596,VEH-200006,2024-03-18T09:57,2024-03-23T03:57,closed,Maya Wright,Maya Johnson,normal,229010,ABS light,Coolant leak at upper hose,Diagnosed wiring fault,13.0,1608.87,18.42,0.36,0,0,81.38,1709.03,pending,paid,INV-501260,"fleet, comeback-risk, waiter",Fleet billing
WO-401261,APPT-300921,CUST-100439,VEH-201184,2024-04-19T22:47,,invoiced,Oliver Sanchez,Hudson Anderson,normal,146151,Overheating,Pads below spec,Performed PM service,9.5,1372.41,1487.16,78.77,0,0,146.92,3085.26,pending,unpaid,INV-501261,"pm, brakes, upsell",Needs comeback follow-up
WO-401262,APPT-300863,CUST-100317,VEH-200844,2024-06-01T04:00,2024-06-06T01:00,invoiced,Lucas Wright,Nora Perez,normal,292285,Vibration,P0420 stored,Replaced front pads/rotors,10.7,1792.94,1002.85,67.51,262.6,0,156.3,3282.2,not_required,partial,INV-501262,"diag, comeback-risk",Legacy WO imported from old DMS
WO-401263,APPT-300449,CUST-100508,VEH-200045,2026-04-06T15:56,2026-04-10T10:56,completed,Zoey Hill,,high,413892,PM due,Battery failed load test,Replaced hose and topped coolant,11.3,1675.84,214.28,5.27,0,0,94.77,1990.16,pending,written_off,,,
WO-401264,APPT-300762,CUST-100854,VEH-201447,2024-07-07T19:28,,completed,Maya Wright,,low,365282,PM due,Loose tie rod,Replaced hose and topped coolant,5.1,848.99,2035.8,155.4,0,0,152.01,3192.2,pending,paid,INV-501264,"diag, upsell",Fleet billing
WO-401265,,CUST-101386,VEH-201072,2024-11-19T10:47,2024-11-23T07:47,invoiced,Oliver Davis,Finn Robinson,low,94500,No crank,Coolant leak at upper hose,Installed battery,13.4,2179.05,931.3,47.43,0,0,157.89,3315.67,declined,unpaid,INV-501265,,Fleet billing
WO-401266,,CUST-100522,VEH-200588,2024-07-21T02:47,2024-07-22T18:47,closed,Elijah Nelson,,low,117945,Pulling left,P0420 stored,,0.6,90.71,11.49,0.49,0,0,5.13,107.82,approved,paid,INV-501266,diag,Customer approved by text
