part_number,vendor_id,brand,description,category,unit_cost,sell_price,qty_on_hand,qty_reserved,reorder_point,location_bin,core_charge,taxable,active,supersedes_part_number,barcode,notes,last_received_at
HVA-72896,VEND-007,Denso,Battery 94R HD,HVAC,456.16,388.11,39,8,30,TIRE-CAGE,0,true,true,,403870431900,,2024-07-11 13:30:28
SUS-11477,VEND-009,Motorcraft,Engine air filter,Suspension,638.04,764.35,103,11,10,A-8-1,0,false,true,,151824418190,Negative qty from bad count,03/29/2026
LIG-56582,VEND-006,Denso,Serpentine belt,Lighting,389.6,998.85,59,11,24,A-12-20,0,true,true,,,Special order only,2025-12-01T13:30
BRA-98212,VEND-009,OEM,Battery 94R Economy,Brakes,207.29,455.38,32,12,15,,0,false,true,OLD-4403,993828709745,,2024-07-17T13:30
SUS-73411,VEND-006,FleetGuard,Shock absorber,Suspension,101.69,1142.6,58,8,13,TIRE-CAGE,31.94,false,true,,736093973264,Negative qty from bad count,2025-08-18
LIG-93257,VEND-004,Wagner,Serpentine belt Economy,Lighting,285.87,982.07,50,13,21,B-1-10,0,true,true,,059352419134,,2025-01-21T13:30
BRA-48755,VEND-001,Monroe,Battery 94R,Brakes,408.58,214.39,0,2,8,FLUID-RACK,0,true,false,,,,2026-02-22
LIG-93274,VEND-006,Monroe,Alternator,Lighting,254.13,1007.24,97,2,18,A-2-22,0,false,false,OLD-7620,912761434567,,2024-11-05T13:30
HOS-94516,VEND-005,NAPA,Wheel seal kit,Hoses,601.17,446.25,16,5,8,B-8-4,0,true,false,,,,2025-02-12T13:30
BRA-72687,VEND-005,Denso,Cabin air filter Premium,Brakes,600.45,277.28,95,15,19,TIRE-CAGE,48.74,true,true,,,,2025-11-19T13:30
ELE-62418,VEND-010,OEM,Headlamp bulb,Electrical,231.79,540.53,95,9,5,B-8-3,36.85,false,false,,,Legacy duplicate SKU?,03/19/2026
HOS-94282,VEND-006,ACDelco,Oil filter,Hoses,580.87,998.39,87,7,29,,96.56,true,true,,264190256618,Core tracked externally,2025-08-13T13:30
ELE-66016,VEND-009,Moog,DEF fluid 9.46L,Electrical,593.59,98.32,93,13,18,A-6-21,0,true,false,,299797389148,Legacy duplicate SKU?,2025-03-10T13:30
HVA-38311,VEND-008,NAPA,Headlamp bulb HD,HVAC,147.01,293.22,71,14,4,TIRE-CAGE,8.35,true,false,,,,2025-07-30T13:30
TIR-89660,VEND-007,ACDelco,Wheel seal kit,Tires,95.41,132.94,63,6,0,FLUID-RACK,0,true,false,,255310447525,Core tracked externally,2025-05-13
ENG-45792,VEND-003,Wagner,Headlamp bulb,Engine,259.62,746.27,95,5,21,FLUID-RACK,0,false,true,,,Special order only,2024-09-26 13:30:28
LIG-43443,VEND-010,Monroe,Headlamp bulb Economy,Lighting,413.22,554.98,79,8,13,,0,true,true,,032525002090,,2025-04-29T13:30
SUS-72598,VEND-005,Moog,Brake pad set front,Suspension,129.65,438.18,38,12,18,B-8-7,0,false,false,OLD-6403,,Core tracked externally,06/17/2024
LIG-76362,VEND-003,Moog,DEF fluid 9.46L HD,Lighting,362.25,820.31,35,10,26,FLUID-RACK,35.97,false,true,,810517464413,Negative qty from bad count,2026-03-06 13:30:28
TIR-76414,VEND-010,Monroe,Oil filter Economy,Tires,504.15,243.33,27,0,20,A-7-21,101.89,false,true,,618758048994,Negative qty from bad count,2025-09-24
LIG-75604,VEND-006,Moog,Cabin air filter HD,Lighting,259.78,904.7,79,1,0,,0,true,true,,,Negative qty from bad count,06/06/2025
ELE-45949,VEND-009,Motorcraft,Shock absorber Economy,Electrical,421.67,199.14,16,7,21,A-4-33,0,false,true,,536875416697,Legacy duplicate SKU?,2025-04-01
LIG-42891,VEND-007,OEM,Tie rod end Premium,Lighting,482.32,487.32,62,0,19,,0,true,true,,,,2024-04-21T13:30
BOD-20728,VEND-007,FleetGuard,Oil filter,Body,46.46,605.08,0,14,27,A-11-25,0,false,false,OLD-3968,575897745511,Negative qty from bad count,2025-12-31T13:30
STE-23501,VEND-010,OEM,Radiator hose upper,Steering,249.8,392.08,120,15,12,A-12-20,95.04,true,true,,227906567093,,2025-02-24T13:30
SUS-70199,VEND-007,FleetGuard,Shock absorber,Suspension,359.34,339.75,47,11,19,,0,false,true,OLD-8428,174731625842,Core tracked externally,2024-06-30T13:30
STE-18835,VEND-005,Bosch,Tie rod end,Steering,434.69,106.45,69,12,18,A-12-20,76.56,false,true,,,Legacy duplicate SKU?,2025-08-29T13:30
ELE-58055,VEND-001,Wagner,Shock absorber,Electrical,359.63,670.52,36,2,29,B-4-1,0,false,false,,217650069146,Core tracked externally,2024-10-23T13:30
SUS-92007,VEND-008,OEM,Serpentine belt Economy,Suspension,141.98,881.72,17,12,27,B-3-18,0,false,false,,554131415302,Special order only,2024-10-15
HOS-18570,VEND-005,Moog,Radiator hose upper Premium,Hoses,622.11,359.32,65,10,2,FLUID-RACK,0,true,false,,628246741398,Core tracked externally,2024-09-29T13:30
ELE-14932,VEND-008,Denso,Oil filter,Electrical,250.46,280.25,112,2,8,A-11-38,101.89,true,false,,179525126653,Negative qty from bad count,11/16/2025
BEL-94956,VEND-002,FleetGuard,Shock absorber,Belts,279.12,25.04,106,2,19,,0,true,false,,471656196064,Special order only,2025-01-01T13:30
SUS-79159,VEND-007,Wagner,Battery 94R,Suspension,461.91,834.88,41,2,13,A-4-17,0,false,true,,577250472329,,2024-10-13T13:30
TIR-94612,VEND-006,NAPA,Starter,Tires,635.11,109.24,53,10,4,A-9-5,0,true,false,,,Special order only,2025-02-09 13:30:28
HOS-80332,VEND-005,Wagner,Oil filter,Hoses,430.93,1137.17,68,14,6,FLUID-RACK,0,true,false,OLD-7939,,Core tracked externally,2025-04-30
FLU-20007,VEND-004,Motorcraft,Spark plugs set HD,Fluids,578.74,417.96,35,6,3,FLUID-RACK,0,true,true,,393869066453,Legacy duplicate SKU?,03/31/2026
HOS-68175,VEND-007,Monroe,Tie rod end Premium,Hoses,36.62,635.93,10,11,29,A-7-28,39.79,false,false,,530699030720,Negative qty from bad count,2025-06-13
BEL-25999,VEND-005,OEM,Brake pad set front,Belts,573.32,237.56,34,0,29,A-6-37,0,false,true,,,Special order only,2024-12-11T13:30
ENG-90097,VEND-008,Moog,Battery 94R,Engine,65.85,1011.1,24,5,27,TIRE-CAGE,0,true,true,,769506895952,Core tracked externally,2025-07-22T13:30
LIG-52727,VEND-005,Denso,Spark plugs set,Lighting,576.83,721.14,64,4,24,A-6-40,0,true,false,,291019311851,Core tracked externally,12/13/2025
HOS-19829,VEND-004,Bosch,Brake pad set front Economy,Hoses,295.96,60.37,28,15,7,FLUID-RACK,59.71,true,false,,282240649622,Negative qty from bad count,2025-05-07
FLU-80954,VEND-002,Bosch,Brake pad set rear,Fluids,520.07,212.07,40,11,13,TIRE-CAGE,0,true,false,,736576548996,Negative qty from bad count,2026-03-30
TIR-30137,VEND-004,Monroe,Engine air filter,Tires,200.47,464.95,86,12,26,B-2-16,0,true,true,,262423025205,Negative qty from bad count,2025-05-17 13:30:28
HVA-84754,VEND-010,Wagner,Alternator Premium,HVAC,15.94,809.48,112,8,23,FLUID-RACK,0,true,true,,,Special order only,2024-07-10T13:30
FIL-74685,VEND-004,Denso,Brake pad set rear,Filters,376.19,1056.54,116,5,15,FLUID-RACK,91.12,true,true,,,,2024-08-22
HOS-23322,VEND-005,OEM,Brake pad set rear Economy,Hoses,186.67,1044.42,52,5,19,B-3-22,0,true,false,,819535231930,Legacy duplicate SKU?,2024-08-23T13:30
FLU-53628,VEND-002,Motorcraft,Brake pad set rear Economy,Fluids,277.68,981.77,79,8,5,,0,false,true,,441286761583,Special order only,2024-05-02 13:30:28
TIR-53361,VEND-005,Denso,Battery 94R,Tires,315.82,214.25,63,5,15,A-8-40,0,true,true,,523937479206,,2024-07-08
STE-17095,VEND-006,FleetGuard,Engine air filter,Steering,124.99,299.08,100,3,8,B-5-15,0,true,false,,976456627755,Negative qty from bad count,2024-06-20T13:30
BOD-48897,VEND-002,Bosch,Radiator hose upper Premium,Body,558.0,775.86,9,14,17,,0,false,true,,642069619279,Special order only,2025-01-25
HOS-48185,VEND-001,FleetGuard,Headlamp bulb,Hoses,220.81,1068.97,44,10,25,TIRE-CAGE,0,true,true,,313008453010,Special order only,2025-12-20
HVA-23746,VEND-005,Motorcraft,Serpentine belt Economy,HVAC,360.25,453.81,85,15,23,FLUID-RACK,0,true,true,,290479642658,Core tracked externally,2025-04-14T13:30
HOS-46229,VEND-004,Motorcraft,Oil filter HD,Hoses,173.33,260.94,81,13,1,,0,true,false,,754193436361,Special order only,2024-08-16T13:30
ENG-83644,VEND-004,Moog,Starter Premium,Engine,144.77,744.49,105,3,22,TIRE-CAGE,0,false,false,,,Core tracked externally,2025-09-02
LIG-22682,VEND-005,Denso,Shock absorber,Lighting,158.54,1058.3,4,6,8,B-8-22,0,false,true,,,Negative qty from bad count,2024-08-18T13:30
ENG-93752,VEND-001,Bosch,Spark plugs set,Engine,170.98,1028.83,28,11,12,A-5-40,0,true,false,,,Legacy duplicate SKU?,2025-05-10T13:30
FLU-97885,VEND-007,Monroe,Wheel seal kit,Fluids,300.44,318.79,69,12,29,,0,true,false,,442072116059,Special order only,2025-06-22
HOS-84579,VEND-005,Bosch,Tie rod end,Hoses,540.41,633.56,100,15,6,B-5-13,40.91,true,true,,591419591398,Special order only,2026-03-03T13:30
HOS-77002,VEND-002,Motorcraft,Oil filter,Hoses,60.56,350.46,29,8,3,TIRE-CAGE,0,false,true,,126832613579,Negative qty from bad count,2024-10-26
BRA-82972,VEND-003,ACDelco,Spark plugs set Premium,Brakes,358.17,540.86,96,13,11,FLUID-RACK,0,true,true,OLD-3092,,Legacy duplicate SKU?,2025-04-03T13:30
BEL-15108,VEND-010,OEM,Cabin air filter,Belts,316.12,809.76,110,6,14,B-8-5,0,true,false,,,Legacy duplicate SKU?,2025-07-02 13:30:28
HOS-51957,VEND-006,Moog,Battery 94R,Hoses,110.2,512.36,76,4,1,B-7-13,0,true,false,,717905644806,Negative qty from bad count,2024-10-18T13:30
LIG-57645,VEND-003,FleetGuard,Cabin air filter,Lighting,60.21,714.81,41,14,21,B-2-3,0,true,true,,854004839297,Special order only,2026-01-01 13:30:28
LIG-17864,VEND-006,OEM,Engine air filter,Lighting,616.7,791.13,76,10,16,TIRE-CAGE,12.3,false,false,,628022098012,,2024-11-29T13:30
HVA-47238,VEND-010,Bosch,Engine air filter Economy,HVAC,583.31,231.44,103,0,15,,0,false,false,,,Negative qty from bad count,2024-10-17T13:30
TIR-36213,VEND-004,Denso,Cabin air filter Economy,Tires,557.83,784.14,34,4,22,FLUID-RACK,0,true,false,,654243680481,Core tracked externally,2026-01-23T13:30
LIG-18324,VEND-008,Motorcraft,Oil filter,Lighting,432.22,1072.27,104,0,0,A-5-16,0,true,true,OLD-6618,906629630890,Legacy duplicate SKU?,2025-06-03T13:30
SUS-11916,VEND-009,Motorcraft,Radiator hose upper,Suspension,595.81,343.3,40,12,19,B-4-3,0,true,true,,316293999215,Legacy duplicate SKU?,2025-04-07T13:30
BRA-35739,VEND-006,ACDelco,Cabin air filter,Brakes,276.31,1128.01,46,13,19,B-6-1,10.58,false,false,,420838099686,Legacy duplicate SKU?,2026-02-17T13:30
ELE-86520,VEND-009,OEM,DEF fluid 9.46L,Electrical,284.33,762.65,1,0,10,A-4-38,82.92,false,false,,,Negative qty from bad count,2025-02-09
SUS-80702,VEND-002,Moog,Radiator hose upper HD,Suspension,151.4,580.09,14,12,1,B-3-2,0,true,true,,891004604419,Core tracked externally,2025-12-18 13:30:28
BOD-87341,VEND-003,Moog,Shock absorber,Body,597.35,1124.35,115,13,21,A-6-28,0,true,true,OLD-2268,,Negative qty from bad count,2025-04-09T13:30
BOD-91369,VEND-004,FleetGuard,Oil filter,Body,621.2,653.68,21,13,22,FLUID-RACK,0,false,false,,348855209573,Negative qty from bad count,2024-12-15T13:30
ENG-67915,VEND-003,Bosch,Oil filter,Engine,427.1,703.31,114,0,2,A-7-20,0,true,true,,940492740883,Special order only,2025-01-11
BEL-71786,VEND-001,Motorcraft,Cabin air filter,Belts,273.47,958.69,113,13,13,A-6-13,0,true,true,,,Negative qty from bad count,2025-05-20
FLU-92350,VEND-008,Motorcraft,Oil filter,Fluids,167.56,477.63,87,13,9,,110.73,false,true,,,Special order only,2024-08-05T13:30
FLU-49875,VEND-005,Moog,Tie rod end HD,Fluids,275.7,728.71,102,13,0,,0,true,true,,,,2025-08-23T13:30
BEL-15866,VEND-005,Wagner,Wheel seal kit,Belts,447.19,762.01,35,4,13,,0,true,true,,958900989863,Legacy duplicate SKU?,2025-04-02T13:30
FLU-52228,VEND-002,Moog,Alternator,Fluids,475.87,118.2,51,4,10,TIRE-CAGE,0,true,false,,,Negative qty from bad count,2024-09-13
HVA-59517,VEND-009,Denso,Serpentine belt,HVAC,32.91,501.97,52,7,7,FLUID-RACK,0,true,false,,,Special order only,2025-12-25
HOS-64055,VEND-004,Denso,Wheel seal kit,Hoses,279.34,848.11,91,8,27,TIRE-CAGE,0,true,true,,593804587079,Special order only,06/10/2025
BOD-88934,VEND-007,Monroe,Radiator hose upper Premium,Body,147.65,708.65,26,1,3,TIRE-CAGE,0,true,false,,004370478509,Special order only,2024-10-23T13:30
ENG-90675,VEND-003,Monroe,Brake pad set front,Engine,494.34,343.23,21,14,21,,0,true,false,,211871031955,Core tracked externally,2025-08-15T13:30
BOD-13503,VEND-005,FleetGuard,Engine air filter,Body,205.07,1124.74,69,4,28,B-5-19,0,true,true,,757202900566,,2024-09-02
ENG-78566,VEND-001,Wagner,Brake pad set rear,Engine,87.43,354.53,108,9,3,B-5-19,25.6,false,true,,,Special order only,2025-07-26T13:30
FLU-41677,VEND-001,Denso,DEF fluid 9.46L,Fluids,646.22,227.88,36,4,30,A-4-36,0,true,false,,212067075167,Legacy duplicate SKU?,12/15/2025
FIL-19421,VEND-001,Bosch,DEF fluid 9.46L Economy,Filters,625.48,915.19,9,5,29,B-1-4,0,true,true,,,Core tracked externally,2025-09-24T13:30
HOS-39576,VEND-010,Moog,Brake pad set rear Premium,Hoses,278.11,908.78,105,12,13,B-6-10,0,true,true,,838315713618,,04/15/2025
FLU-91233,VEND-010,OEM,Battery 94R,Fluids,394.1,516.29,47,6,24,TIRE-CAGE,0,true,true,,047685718546,Special order only,2025-06-11T13:30
HVA-79177,VEND-004,OEM,Tie rod end Economy,HVAC,363.27,176.65,84,7,15,,0,true,true,,584705549785,Legacy duplicate SKU?,2026-02-06
SUS-95943,VEND-002,OEM,Shock absorber,Suspension,516.73,667.45,-3,10,20,,0,true,false,OLD-8273,854089213117,,2024-12-26
HOS-88547,VEND-004,Moog,Brake pad set front Premium,Hoses,167.95,204.76,113,10,11,,57.58,true,true,,769790997072,Negative qty from bad count,2025-03-12
SUS-16073,VEND-003,ACDelco,Brake pad set rear,Suspension,238.63,15.54,87,11,7,FLUID-RACK,0,true,false,,817926374277,Core tracked externally,2025-02-22T13:30
HVA-56541,VEND-005,Monroe,Serpentine belt,HVAC,381.96,488.95,119,12,28,TIRE-CAGE,0,true,false,,,Special order only,2024-11-21T13:30
LIG-70857,VEND-008,Denso,Headlamp bulb,Lighting,13.28,956.68,108,7,10,B-7-6,0,false,true,,001040530796,Core tracked externally,2025-08-02T13:30
BOD-13557,VEND-010,Moog,Wheel seal kit,Body,517.8,47.36,78,13,0,FLUID-RACK,0,true,true,,826259604756,,2024-12-03 13:30:28
ELE-53122,VEND-008,ACDelco,Oil filter,Electrical,538.24,664.32,61,6,12,,0,false,true,,950386732632,Special order only,2024-11-06 13:30:28
FLU-40983,VEND-005,FleetGuard,Cabin air filter,Fluids,543.78,841.95,56,14,26,A-1-21,0,false,false,,883295742734,Negative qty from bad count,11/15/2024
HOS-94723,VEND-009,NAPA,Radiator hose upper,Hoses,262.22,178.07,35,2,11,A-8-26,0,true,true,OLD-1039,990815212188,Negative qty from bad count,2025-06-08T13:30
BRA-34553,VEND-008,OEM,Oil filter Premium,Brakes,537.19,85.94,68,1,16,FLUID-RACK,42.26,false,true,,643914300331,Negative qty from bad count,2024-10-31T13:30
BOD-11733,VEND-007,OEM,Cabin air filter,Body,222.92,402.32,46,8,17,A-6-6,0,true,true,,,Legacy duplicate SKU?,2025-07-11T13:30
TIR-38820,VEND-004,Wagner,Tie rod end,Tires,306.45,911.69,5,11,25,B-3-15,0,true,true,,881612064798,Special order only,2026-01-01T13:30
TIR-50064,VEND-004,Denso,Alternator,Tires,473.17,729.19,4,9,28,B-6-24,0,true,false,,565944335989,,2025-12-01T13:30
ELE-62485,VEND-009,OEM,Brake pad set rear,Electrical,81.38,70.74,56,1,7,,0,true,true,,261214001880,Special order only,2025-08-17
HVA-87217,VEND-002,Monroe,Serpentine belt Premium,HVAC,565.97,976.8,13,14,25,A-8-19,15.94,true,false,,396310355357,Special order only,2024-04-29
ELE-45556,VEND-010,Bosch,Alternator Economy,Electrical,404.72,750.17,26,15,1,TIRE-CAGE,0,true,false,,190285667300,Special order only,2025-02-14T13:30
BRA-88061,VEND-008,Motorcraft,Alternator Premium,Brakes,353.56,666.45,51,8,16,FLUID-RACK,0,false,true,,184439921698,,01/26/2026
FLU-79949,VEND-005,Motorcraft,Starter,Fluids,298.82,782.75,21,6,3,B-8-23,0,true,false,,,,02/10/2026
TIR-28155,VEND-002,Motorcraft,Brake pad set front,Tires,386.52,834.56,20,9,9,TIRE-CAGE,0,true,true,,936020938850,Special order only,2025-07-04T13:30
HVA-28507,VEND-001,FleetGuard,Serpentine belt,HVAC,639.04,981.56,23,6,18,TIRE-CAGE,58.29,false,true,,119916500269,Negative qty from bad count,2024-07-09T13:30
ELE-51283,VEND-007,NAPA,Shock absorber Economy,Electrical,132.75,553.73,58,7,16,B-6-12,0,true,false,,346412017101,,2025-05-27T13:30
HVA-91978,VEND-001,Bosch,Oil filter Premium,HVAC,638.25,919.9,42,4,4,,0,true,false,,,,2025-09-30T13:30
SUS-23712,VEND-008,Denso,Engine air filter,Suspension,516.45,157.56,54,10,26,,0,true,false,,,Core tracked externally,2025-08-27T13:30
TIR-95934,VEND-010,Bosch,Serpentine belt HD,Tires,313.0,406.16,48,9,13,TIRE-CAGE,24.42,true,true,,975471909806,Legacy duplicate SKU?,2026-03-10T13:30
LIG-32042,VEND-001,OEM,Alternator HD,Lighting,10.72,238.62,78,3,17,,0,true,true,,513844170877,Core tracked externally,04/10/2026
ENG-93043,VEND-010,Bosch,Oil filter Economy,Engine,303.66,998.4,106,12,26,,0,true,false,,055300139455,Negative qty from bad count,2025-01-10
FIL-49511,VEND-006,OEM,DEF fluid 9.46L Premium,Filters,604.21,1027.79,114,0,20,A-8-29,0,true,false,,753307466036,Special order only,2024-08-11T13:30
BOD-91126,VEND-003,Motorcraft,Tie rod end,Body,312.75,235.41,1,7,22,B-8-16,0,true,true,OLD-8102,041230852288,Negative qty from bad count,2024-10-15
STE-11912,VEND-001,Moog,Shock absorber Premium,Steering,23.34,605.34,9,11,26,,0,true,true,,,Special order only,2025-06-21
LIG-71940,VEND-005,FleetGuard,Spark plugs set Economy,Lighting,31.65,234.11,71,11,11,TIRE-CAGE,0,false,false,OLD-4559,,Core tracked externally,10/27/2024
BRA-47212,VEND-010,NAPA,Wheel seal kit,Brakes,307.43,96.09,49,8,6,B-6-22,0,false,true,OLD-4482,,Core tracked externally,2026-01-15 13:30:28
LIG-45321,VEND-004,Wagner,Battery 94R,Lighting,378.64,384.98,85,5,14,A-1-15,0,true,true,,598103109958,Core tracked externally,2025-02-11T13:30
BOD-21568,VEND-009,Motorcraft,Serpentine belt,Body,249.44,339.61,57,11,27,A-12-39,0,true,true,,616394140011,Special order only,2024-07-05
BEL-10404,VEND-001,Moog,DEF fluid 9.46L Premium,Belts,78.15,909.7,35,11,22,B-2-1,0,true,true,,297919515883,Core tracked externally,2025-11-15T13:30
FLU-81440,VEND-003,Denso,Cabin air filter,Fluids,506.73,367.64,93,12,25,TIRE-CAGE,0,false,true,,285529040740,Special order only,2025-04-25T13:30
FLU-66875,VEND-008,FleetGuard,Serpentine belt Premium,Fluids,611.5,33.97,1,10,10,,0,false,true,,,Negative qty from bad count,2024-06-26T13:30
SUS-69195,VEND-010,OEM,Spark plugs set Economy,Suspension,356.66,1088.48,115,0,24,A-7-30,100.4,false,true,OLD-2323,368954100102,Core tracked externally,2024-10-31T13:30
HOS-49710,VEND-006,Bosch,Tie rod end,Hoses,604.36,715.26,109,15,0,B-5-7,0,false,false,,508440291527,Core tracked externally,2026-04-06
BEL-79226,VEND-005,Bosch,Battery 94R,Belts,236.94,953.19,93,3,10,TIRE-CAGE,109.6,true,true,,479775535907,Special order only,2026-01-12
HOS-63506,VEND-002,OEM,Radiator hose upper,Hoses,144.28,681.87,109,11,16,TIRE-CAGE,0,true,true,,,Legacy duplicate SKU?,2025-06-25T13:30
HOS-42973,VEND-008,OEM,Alternator,Hoses,599.45,639.9,50,10,22,FLUID-RACK,0,true,true,,701540825382,Special order only,2025-09-02T13:30
TIR-13099,VEND-005,Wagner,Headlamp bulb Premium,Tires,277.29,82.84,102,12,3,TIRE-CAGE,0,false,true,,691314907505,,2024-04-25T13:30
TIR-30406,VEND-006,Motorcraft,Battery 94R Economy,Tires,141.47,541.98,15,3,9,FLUID-RACK,0,false,true,,151765085449,Special order only,2025-11-01T13:30
ENG-61712,VEND-003,FleetGuard,Engine air filter,Engine,486.8,694.4,108,1,9,TIRE-CAGE,107.74,true,true,,750883841126,Negative qty from bad count,2025-05-16T13:30
TIR-54307,VEND-004,Motorcraft,Headlamp bulb,Tires,152.71,684.26,45,8,29,TIRE-CAGE,0,true,false,,484838139640,,2026-01-08T13:30
FIL-63834,VEND-002,FleetGuard,Cabin air filter,Filters,361.42,1109.16,55,13,14,,0,true,false,,,Special order only,2025-10-10T13:30
BOD-72615,VEND-005,Bosch,Headlamp bulb,Body,74.37,1052.52,34,11,0,A-11-33,0,true,true,,182814677679,Core tracked externally,2025-01-30
BEL-57957,VEND-002,Monroe,Cabin air filter,Belts,593.05,720.57,55,11,3,B-2-2,0,true,true,,099837469723,Negative qty from bad count,2025-05-28
ENG-75150,VEND-010,OEM,Serpentine belt Premium,Engine,360.94,275.41,81,8,23,FLUID-RACK,58.54,true,true,,549105388794,Negative qty from bad count,2024-08-22T13:30
ELE-22389,VEND-004,Motorcraft,Headlamp bulb HD,Electrical,531.98,101.8,75,11,23,A-6-10,0,true,false,OLD-6496,,Special order only,2024-10-31
BRA-89142,VEND-004,OEM,Shock absorber Economy,Brakes,380.22,12.49,60,7,27,TIRE-CAGE,0,true,false,,,Core tracked externally,2025-11-18T13:30
STE-91621,VEND-005,FleetGuard,Shock absorber,Steering,439.97,1024.74,47,4,8,B-5-14,0,true,true,,699379125919,Special order only,2024-10-02T13:30
FIL-68236,VEND-008,NAPA,Tie rod end,Filters,622.75,560.72,119,8,20,FLUID-RACK,0,false,true,,043699471503,Negative qty from bad count,2024-07-10T13:30
HVA-38531,VEND-005,NAPA,Tie rod end,HVAC,606.67,742.2,115,0,22,B-7-19,0,true,false,OLD-1052,769411156402,Negative qty from bad count,2026-02-16T13:30
FLU-51418,VEND-008,Denso,Engine air filter Economy,Fluids,629.26,33.19,96,7,17,A-2-16,0,true,true,,,Negative qty from bad count,2024-12-27T13:30
BOD-94427,VEND-001,ACDelco,Alternator,Body,250.11,866.13,100,4,30,B-5-20,0,false,false,OLD-2055,868951452213,Legacy duplicate SKU?,02/08/2026
HOS-53891,VEND-008,Moog,Oil filter HD,Hoses,396.19,627.37,12,5,17,TIRE-CAGE,0,true,true,,282800782515,Special order only,2024-07-29T13:30
STE-20803,VEND-008,Moog,Alternator,Steering,356.63,872.31,19,4,11,TIRE-CAGE,102.74,true,false,,289687985786,Negative qty from bad count,2025-04-20T13:30
FIL-46159,VEND-004,FleetGuard,Headlamp bulb,Filters,252.87,85.55,83,2,13,A-6-39,108.86,false,true,,464713222052,Special order only,2026-03-26T13:30
LIG-59230,VEND-001,Wagner,Radiator hose upper,Lighting,128.12,558.18,65,1,25,B-1-2,0,true,false,,579174658976,Negative qty from bad count,2024-09-01T13:30
STE-50290,VEND-008,Monroe,Wheel seal kit,Steering,305.67,1082.72,52,6,14,B-8-12,59.79,true,false,,134669745621,Negative qty from bad count,2024-06-22
BEL-74074,VEND-009,ACDelco,Spark plugs set,Belts,513.61,787.1,117,5,12,B-5-14,0,true,false,,497780990354,Legacy duplicate SKU?,2024-04-23T13:30
ENG-45875,VEND-005,OEM,Spark plugs set Premium,Engine,649.66,145.99,3,0,18,B-5-11,0,true,false,OLD-5637,374844250167,Negative qty from bad count,06/15/2025
HOS-24379,VEND-002,Denso,Brake pad set rear,Hoses,383.51,114.2,66,4,18,B-5-5,0,false,true,,352806168314,,2025-07-29T13:30
STE-27350,VEND-010,Bosch,Starter,Steering,551.96,685.72,37,14,11,B-4-22,0,false,false,,,Core tracked externally,10/23/2024
ENG-69396,VEND-005,NAPA,Shock absorber,Engine,473.74,191.96,19,12,22,TIRE-CAGE,0,true,false,,167681609580,Legacy duplicate SKU?,2025-11-04T13:30
HVA-48625,VEND-010,Bosch,Starter Premium,HVAC,73.95,6.77,11,7,17,FLUID-RACK,0,true,true,,479528886177,Negative qty from bad count,2025-02-12
ENG-11953,VEND-001,NAPA,Starter,Engine,639.84,870.89,7,7,2,TIRE-CAGE,0,true,true,,309222516593,Core tracked externally,2024-05-04T13:30
ENG-79858,VEND-006,Wagner,Alternator,Engine,149.07,591.1,118,7,24,A-11-25,0,true,false,,770617008964,Special order only,2025-01-08 13:30:28
BRA-67835,VEND-009,Wagner,Cabin air filter,Brakes,479.51,492.61,28,14,17,FLUID-RACK,9.09,true,false,,254682823358,Negative qty from bad count,2024-08-27T13:30
BOD-27850,VEND-008,ACDelco,Battery 94R,Body,316.06,709.15,-2,13,4,,0,true,true,OLD-5064,201337862604,Special order only,2024-09-21 13:30:28
SUS-44192,VEND-002,FleetGuard,Alternator,Suspension,499.17,348.41,92,11,24,,0,false,true,,,Special order only,2025-04-18 13:30:28
ELE-71558,VEND-001,Denso,Brake pad set rear,Electrical,316.62,177.32,88,7,12,TIRE-CAGE,0,false,true,,248658211112,Negative qty from bad count,2025-03-20 13:30:28
SUS-93720,VEND-001,OEM,Headlamp bulb,Suspension,366.38,321.93,37,0,23,FLUID-RACK,0,true,false,,,Negative qty from bad count,2024-05-27T13:30
FIL-48612,VEND-008,Bosch,Shock absorber Economy,Filters,392.42,771.78,105,12,15,,74.48,true,false,OLD-8641,760664302429,,2025-10-29T13:30
BEL-46667,VEND-009,Denso,Brake pad set front,Belts,331.49,235.29,97,13,16,FLUID-RACK,0,false,true,,684878905728,Special order only,2026-02-03T13:30
LIG-29854,VEND-008,Monroe,Headlamp bulb,Lighting,384.11,1029.09,40,8,7,FLUID-RACK,0,false,false,,,,2025-02-25 13:30:28
SUS-78017,VEND-002,Wagner,DEF fluid 9.46L HD,Suspension,632.77,1107.71,16,2,2,FLUID-RACK,0,true,true,,004111467648,,2024-08-03
HOS-90171,VEND-001,Motorcraft,Brake pad set front Premium,Hoses,201.29,1130.86,3,3,27,B-2-13,99.1,true,true,,,Negative qty from bad count,2025-09-09T13:30
ELE-49275,VEND-004,OEM,Spark plugs set HD,Electrical,84.56,364.31,114,2,0,,0,false,true,,055821439580,Negative qty from bad count,2024-09-16
FIL-73801,VEND-008,Wagner,Headlamp bulb HD,Filters,399.23,797.23,6,9,12,A-6-36,91.79,true,false,,055888182176,Legacy duplicate SKU?,02/03/2025
FIL-98391,VEND-004,NAPA,Engine air filter,Filters,494.68,528.66,41,12,14,A-3-32,0,true,false,,500078297247,Special order only,2026-03-24 13:30:28
