service_code,service_name,category,default_labor_hours,default_labor_rate,taxable,active,shop_department,recommended_interval_km,recommended_interval_months,description,tags
SVC-0258,Transfer Case Service,Brakes,4.5,161.77,true,true,Inspection Lane,37108,20,Bundle item,"legacy, fleet"
SVC-0259,Brake Inspection,Driveline,5.1,147.59,true,true,Inspection Lane,,,Common menu service,"fleet, upsell"
SVC-0260,Differential Service,Electrical,1.8,163.33,true,true,Fleet,,3,Common menu service,"legacy, inspection"
SVC-0261,Alternator Replacement,Driveline,6.6,178.15,false,true,General Service,,,HD PM template,
SVC-0262,Coolant Flush,Engine,4.5,149.62,true,true,General Service,8696,,Legacy canned job from prior system,"upsell, menu"
SVC-0263,Front Brake Service,Brakes,3.3,151.96,false,false,Fleet,,,Legacy canned job from prior system,
SVC-0264,Rear Brake Service,Brakes,4.9,157.41,true,true,Inspection Lane,12335,,Legacy canned job from prior system,
SVC-0265,Check Engine Light Scan,Engine,7.5,127.5,false,true,Fleet,,19,Bundle item,
SVC-0266,Fleet PM B,Brakes,7.2,180.47,false,true,General Service,35867,22,Bundle item,
SVC-0267,Tire Rotation,Electrical,4.0,173.69,false,true,Inspection Lane,13968,16,HD PM template,legacy
SVC-0268,Fleet PM C,HVAC,3.8,152.15,true,true,Heavy Duty,16488,,Legacy canned job from prior system,legacy
SVC-0269,Fuel System Cleaning,HVAC,2.6,134.47,true,true,Fleet,,,Bundle item,legacy
SVC-0270,Fuel System Cleaning,Electrical,2.7,133.4,true,true,Inspection Lane,26619,,Bundle item,
SVC-0271,Tire Rotation,HVAC,1.7,123.17,true,true,Inspection Lane,15545,20,,"fleet, menu"
SVC-0272,Tire Rotation,HVAC,3.6,160.55,false,true,Fleet,,24,,"fleet, inspection"
SVC-0273,Fuel System Cleaning - Standard,Diagnostics,1.3,164.57,true,true,Fleet,36198,19,,"inspection, fleet"
SVC-0274,Oil Change,Engine,6.3,128.98,false,true,Fleet,,,Bundle item,legacy
SVC-0275,Check Engine Light Scan,HVAC,6.3,186.67,false,false,Inspection Lane,,,Legacy canned job from prior system,fleet
SVC-0276,Steering Rack Replacement,HVAC,0.5,118.01,false,true,Heavy Duty,,10,Legacy canned job from prior system,inspection
SVC-0277,Out of Province Inspection,Diagnostics,7.8,137.4,false,false,Inspection Lane,37164,19,,inspection
SVC-0278,Engine Diagnostic,Maintenance,4.3,185.37,true,true,General Service,,8,Common menu service,
SVC-0279,Starter Replacement,Inspection,5.0,164.91,false,false,Heavy Duty,,,Common menu service,"menu, legacy"
SVC-0280,Transfer Case Service,Engine,2.3,191.65,true,true,General Service,,,HD PM template,"menu, legacy"
SVC-0281,Brake Inspection,Brakes,2.7,164.88,true,true,Heavy Duty,27728,,Legacy canned job from prior system,legacy
SVC-0282,Battery Test,Electrical,6.1,127.94,false,true,General Service,,24,HD PM template,"fleet, menu"
SVC-0283,Fuel System Cleaning,Brakes,2.9,116.96,false,false,General Service,,22,Common menu service,"fleet, upsell"
SVC-0284,Spark Plug Replacement,Electrical,4.2,116.94,false,true,Inspection Lane,16894,10,HD PM template,legacy
SVC-0285,Transfer Case Service,Driveline,3.4,190.66,false,false,Inspection Lane,34659,20,HD PM template,fleet
SVC-0286,Wheel Alignment,HVAC,3.0,186.02,false,false,Inspection Lane,38500,22,HD PM template,
SVC-0287,Coolant Flush,Brakes,1.8,126.71,false,true,Fleet,,,HD PM template,
SVC-0288,Transmission Service - Standard,Brakes,5.7,158.61,true,true,General Service,,23,Common menu service,
SVC-0289,A/C Performance Check,Engine,5.0,186.11,false,false,Inspection Lane,11975,24,Bundle item,"inspection, menu"
SVC-0290,Alternator Replacement,Diagnostics,1.0,160.22,false,true,General Service,7441,,Bundle item,"upsell, legacy"
SVC-0291,Brake Inspection - Premium,Inspection,8.2,173.29,false,true,General Service,,,,
SVC-0292,Transmission Service,Diagnostics,0.4,149.18,false,false,Heavy Duty,11229,,,upsell
SVC-0293,Fuel System Cleaning,Maintenance,1.9,190.35,false,false,Heavy Duty,,,HD PM template,"fleet, inspection"
SVC-0294,Spark Plug Replacement,Diagnostics,5.6,192.79,true,true,Inspection Lane,15341,3,Common menu service,fleet
SVC-0295,Differential Service,Brakes,0.4,180.51,false,true,Fleet,33402,,,upsell
SVC-0296,Out of Province Inspection,HVAC,6.5,136.1,true,true,Heavy Duty,38896,10,HD PM template,menu
SVC-0297,Spark Plug Replacement,Diagnostics,4.8,138.86,false,false,Inspection Lane,,,Common menu service,"legacy, fleet"
SVC-0298,Coolant Flush,Driveline,4.3,151.15,false,false,General Service,31800,,Bundle item,fleet
SVC-0299,Differential Service,Brakes,6.8,136.96,true,true,General Service,24034,9,Bundle item,"menu, fleet"
SVC-0300,Fuel System Cleaning,HVAC,4.9,129.29,true,true,General Service,,,Bundle item,"menu, fleet"
SVC-0301,Wheel Alignment,Brakes,7.3,177.1,false,true,Heavy Duty,,,Legacy canned job from prior system,menu
SVC-0302,Fuel System Cleaning,Engine,4.5,144.49,false,true,Fleet,21620,21,,"inspection, legacy"
SVC-0303,Rear Brake Service,Diagnostics,1.1,165.56,false,true,Fleet,,19,Common menu service,menu
SVC-0304,Brake Inspection - Standard,Diagnostics,2.1,136.2,false,true,General Service,28797,,HD PM template,"fleet, upsell"
SVC-0305,Front Brake Service,HVAC,1.3,140.47,true,false,Heavy Duty,20549,,HD PM template,"upsell, fleet"
SVC-0306,Alternator Replacement,Brakes,6.0,162.42,true,true,General Service,,,Legacy canned job from prior system,menu
SVC-0307,Fleet PM A,Diagnostics,8.4,127.97,false,true,Inspection Lane,17503,,,"inspection, upsell"
SVC-0308,Steering Rack Replacement,Brakes,1.9,182.24,false,true,Inspection Lane,,,Legacy canned job from prior system,upsell
SVC-0309,Steering Rack Replacement - Fleet,Electrical,3.3,144.86,false,true,Inspection Lane,8858,20,Common menu service,"inspection, fleet"
SVC-0310,Spark Plug Replacement,Inspection,7.7,115.62,false,false,General Service,14279,,Common menu service,"legacy, upsell"
SVC-0311,Fleet PM C,Diagnostics,6.1,186.4,true,false,General Service,,,HD PM template,upsell
SVC-0312,Starter Replacement - Quick,Maintenance,6.2,146.85,false,true,Heavy Duty,17511,,Common menu service,"inspection, fleet"
SVC-0313,Fleet PM C,HVAC,2.2,130.68,true,false,Inspection Lane,39873,23,Bundle item,
SVC-0314,Fleet PM A,Brakes,5.5,125.86,true,true,Fleet,15878,,Common menu service,
SVC-0315,Rear Brake Service,Maintenance,8.3,155.5,false,false,Inspection Lane,17142,,Common menu service,upsell
SVC-0316,Battery Test,Maintenance,6.9,122.83,true,true,General Service,21169,,,"menu, fleet"
SVC-0317,Differential Service,Diagnostics,6.4,166.1,false,true,Inspection Lane,,,Common menu service,"fleet, menu"
SVC-0318,Fleet PM C,Inspection,3.0,124.49,true,true,General Service,28972,8,HD PM template,"upsell, menu"
SVC-0319,Battery Test,Diagnostics,4.5,123.65,true,false,Inspection Lane,,7,Legacy canned job from prior system,"inspection, legacy"
SVC-0320,Fuel System Cleaning - Fleet,Inspection,5.8,148.62,true,true,Heavy Duty,,16,,
SVC-0321,Fleet PM C,HVAC,7.8,151.02,true,true,Inspection Lane,17516,4,HD PM template,
SVC-0322,Brake Inspection,Inspection,8.1,132.86,false,true,General Service,5325,,,upsell
SVC-0323,Front Brake Service,Driveline,7.1,136.05,true,true,General Service,,19,Bundle item,
SVC-0324,Out of Province Inspection,Brakes,1.5,186.99,false,true,Fleet,27103,,,"menu, legacy"
SVC-0325,Wheel Alignment,Engine,7.1,166.06,true,false,Inspection Lane,25303,,Common menu service,fleet
SVC-0326,Fleet PM A,Maintenance,5.8,152.0,false,true,General Service,,17,,legacy
SVC-0327,Front Brake Service,Brakes,5.4,135.85,true,true,General Service,33123,,Bundle item,"inspection, menu"
SVC-0328,Differential Service,Diagnostics,5.3,132.69,false,true,Heavy Duty,,18,Bundle item,"fleet, inspection"
SVC-0329,Out of Province Inspection,Maintenance,2.6,157.0,false,false,Inspection Lane,10835,,Bundle item,"inspection, menu"
SVC-0330,Transfer Case Service,Engine,5.6,154.02,false,true,General Service,,6,,upsell
SVC-0331,Wheel Alignment,Brakes,4.4,166.75,true,true,Heavy Duty,,4,,menu
SVC-0332,Differential Service,Maintenance,5.4,134.74,false,false,Heavy Duty,15544,,,fleet
SVC-0333,Engine Diagnostic,HVAC,3.7,144.54,true,false,Fleet,38432,,Bundle item,
SVC-0334,Check Engine Light Scan - HD,Inspection,2.0,164.34,true,true,General Service,18438,14,,fleet
SVC-0335,Engine Diagnostic,Diagnostics,0.3,179.89,false,false,Inspection Lane,,,Bundle item,inspection
SVC-0336,Differential Service,Diagnostics,7.6,140.02,false,true,Heavy Duty,,22,Common menu service,"fleet, upsell"
SVC-0337,Fuel System Cleaning,Maintenance,7.6,178.78,true,true,Heavy Duty,21328,,Legacy canned job from prior system,inspection
SVC-0338,Fleet PM A,Brakes,6.3,182.23,true,true,Inspection Lane,25129,23,HD PM template,
SVC-0339,Safety Inspection,Maintenance,7.1,179.14,false,true,Inspection Lane,,22,Legacy canned job from prior system,"fleet, menu"
SVC-0340,Fleet PM C,Engine,4.5,161.63,true,false,Heavy Duty,7513,,HD PM template,
SVC-0341,Fuel System Cleaning,HVAC,4.4,181.47,false,false,Fleet,,23,Legacy canned job from prior system,"legacy, upsell"
SVC-0342,Alternator Replacement,HVAC,3.8,189.3,true,true,General Service,10782,,Bundle item,
SVC-0343,Spark Plug Replacement,Diagnostics,4.5,122.85,false,false,Inspection Lane,36488,,Common menu service,
SVC-0344,Fleet PM B,Maintenance,6.3,194.61,false,false,General Service,25153,,Bundle item,"inspection, fleet"
SVC-0345,A/C Performance Check,Diagnostics,7.8,185.54,true,true,Inspection Lane,,12,Legacy canned job from prior system,"legacy, upsell"
SVC-0346,Safety Inspection,Brakes,6.1,144.7,false,false,General Service,15137,20,Bundle item,"menu, upsell"
SVC-0347,Steering Rack Replacement,Maintenance,8.0,171.46,false,true,Inspection Lane,,,Bundle item,
SVC-0348,Engine Diagnostic,Brakes,5.6,136.66,false,true,Heavy Duty,,4,Bundle item,
SVC-0349,Fleet PM C,HVAC,1.7,164.63,true,true,General Service,33906,15,HD PM template,"fleet, inspection"
SVC-0350,Transmission Service,Driveline,1.5,139.36,false,false,General Service,10804,12,Bundle item,"menu, legacy"
SVC-0351,Starter Replacement,Driveline,1.5,159.0,true,false,General Service,25884,12,Common menu service,"upsell, fleet"
SVC-0352,Out of Province Inspection - Quick,Engine,1.5,124.4,true,true,Heavy Duty,,,Legacy canned job from prior system,"inspection, legacy"
SVC-0353,Coolant Flush,Electrical,3.1,140.22,true,true,Inspection Lane,,13,Common menu service,"menu, fleet"
SVC-0354,Front Brake Service - Quick,Inspection,7.2,186.49,false,true,Heavy Duty,33342,11,Bundle item,"legacy, menu"
SVC-0355,Fuel System Cleaning,Driveline,5.4,194.22,false,true,Inspection Lane,,23,Legacy canned job from prior system,
SVC-0356,Steering Rack Replacement,Electrical,0.5,153.56,false,true,Fleet,,,HD PM template,upsell
SVC-0357,Tire Rotation,Maintenance,7.0,141.68,true,true,Inspection Lane,32728,,Bundle item,"fleet, inspection"
SVC-0358,Safety Inspection,Engine,0.9,120.02,false,false,Fleet,33562,14,Bundle item,upsell
SVC-0359,Safety Inspection,HVAC,5.4,192.01,true,true,Fleet,29611,3,Common menu service,
SVC-0360,Engine Diagnostic - HD,Inspection,3.2,168.84,true,true,Heavy Duty,,11,Common menu service,"upsell, fleet"
SVC-0361,Suspension Inspection,Inspection,3.8,157.43,false,false,Fleet,,10,HD PM template,inspection
SVC-0362,Battery Test - Fleet,Diagnostics,2.6,166.14,true,true,Fleet,,,Common menu service,
SVC-0363,Safety Inspection,Diagnostics,4.6,142.91,true,true,Inspection Lane,,3,,
SVC-0364,Suspension Inspection - HD,Engine,3.2,143.96,true,false,Inspection Lane,,6,Legacy canned job from prior system,fleet
SVC-0365,Starter Replacement,Diagnostics,0.7,160.1,false,true,Fleet,12687,,HD PM template,"legacy, upsell"
SVC-0366,Alternator Replacement,Engine,4.7,170.43,false,false,Fleet,,,,upsell
SVC-0367,Transfer Case Service,HVAC,7.0,169.74,true,true,Fleet,11893,,HD PM template,
SVC-0368,Coolant Flush,Driveline,8.1,175.52,true,true,Fleet,,6,HD PM template,
SVC-0369,Spark Plug Replacement,Brakes,6.2,158.15,false,true,Heavy Duty,,23,,
SVC-0370,Oil Change,Maintenance,4.6,149.33,true,true,General Service,,,HD PM template,
SVC-0371,Suspension Inspection,Electrical,6.0,116.43,false,false,Inspection Lane,,,Legacy canned job from prior system,
SVC-0372,Suspension Inspection,Diagnostics,6.1,125.68,false,true,Inspection Lane,36108,,Bundle item,
SVC-0373,Check Engine Light Scan,HVAC,1.1,189.9,false,false,General Service,,,HD PM template,legacy
SVC-0374,A/C Performance Check,Maintenance,6.1,126.58,false,true,General Service,,12,HD PM template,
SVC-0375,Fuel System Cleaning,Inspection,1.2,181.87,true,false,Inspection Lane,37115,,Common menu service,"fleet, menu"
SVC-0376,Out of Province Inspection,Maintenance,2.4,129.85,true,true,General Service,32255,,HD PM template,"menu, upsell"
SVC-0377,Tire Rotation,Electrical,2.8,178.81,true,true,Inspection Lane,36000,22,Legacy canned job from prior system,inspection
SVC-0378,Transfer Case Service,Electrical,0.8,146.71,true,true,Heavy Duty,19505,,,upsell
SVC-0379,Front Brake Service,Brakes,8.3,162.92,false,true,Fleet,,23,,
SVC-0380,Out of Province Inspection,Electrical,5.8,181.88,false,false,Heavy Duty,29750,21,Bundle item,inspection
SVC-0381,Transfer Case Service,Diagnostics,7.8,175.17,true,true,Heavy Duty,,12,HD PM template,menu
SVC-0382,Engine Diagnostic,Diagnostics,2.8,156.79,false,false,Heavy Duty,32647,3,,fleet
SVC-0383,Check Engine Light Scan - Quick,Maintenance,5.6,140.84,true,true,Inspection Lane,22256,12,Bundle item,fleet
SVC-0384,Steering Rack Replacement,Maintenance,4.7,123.17,true,true,General Service,,,Legacy canned job from prior system,"fleet, menu"
SVC-0385,Oil Change - HD,Maintenance,3.6,180.95,true,true,General Service,,3,Legacy canned job from prior system,inspection
SVC-0386,Front Brake Service,Electrical,6.7,141.14,false,true,Fleet,,9,Legacy canned job from prior system,"inspection, menu"
SVC-0387,Wheel Alignment,Brakes,3.8,150.47,true,true,Heavy Duty,8104,16,Common menu service,upsell
SVC-0388,Fleet PM C,Electrical,5.8,192.4,false,true,Heavy Duty,,,HD PM template,
SVC-0389,Battery Test,Maintenance,3.5,151.23,true,true,Heavy Duty,35914,22,Common menu service,"inspection, upsell"
SVC-0390,Fleet PM A,HVAC,3.1,115.99,true,true,Inspection Lane,25273,,HD PM template,"menu, legacy"
SVC-0391,A/C Performance Check - Standard,Engine,2.1,134.8,true,true,General Service,15595,,Common menu service,legacy
SVC-0392,Battery Test,Engine,8.2,158.08,true,true,Heavy Duty,,24,HD PM template,inspection
SVC-0393,Battery Test - Premium,HVAC,2.6,187.84,false,true,General Service,,4,,
SVC-0394,Spark Plug Replacement,Diagnostics,6.5,148.36,true,true,Inspection Lane,28263,,Legacy canned job from prior system,fleet
SVC-0395,Engine Diagnostic,Diagnostics,4.8,158.85,true,true,Heavy Duty,,,HD PM template,
SVC-0396,Transmission Service - Fleet,Engine,0.9,164.39,false,false,Heavy Duty,23600,,Common menu service,"fleet, inspection"
SVC-0397,Spark Plug Replacement,Engine,0.6,126.25,true,false,General Service,6430,,HD PM template,"inspection, legacy"
SVC-0398,Starter Replacement,Maintenance,1.0,164.83,false,true,Fleet,,,Bundle item,"upsell, legacy"
SVC-0399,Suspension Inspection,Inspection,6.6,132.71,true,true,Heavy Duty,21758,3,,fleet
SVC-0400,Tire Rotation,Diagnostics,4.9,118.52,false,true,Fleet,26821,,Common menu service,upsell
SVC-0401,Transfer Case Service,Engine,6.8,158.48,false,true,Inspection Lane,24268,20,Common menu service,inspection
SVC-0402,Wheel Alignment,Inspection,7.6,149.11,true,true,General Service,20619,,HD PM template,
SVC-0403,Transmission Service,Engine,5.7,156.92,false,true,Fleet,32886,,HD PM template,"menu, upsell"
SVC-0404,Transmission Service,Maintenance,7.0,187.3,true,true,Fleet,36018,24,Common menu service,"menu, fleet"
SVC-0405,Starter Replacement,Engine,4.5,174.23,false,true,Heavy Duty,,22,HD PM template,legacy
SVC-0406,Tire Rotation,HVAC,4.5,137.65,true,true,Fleet,18117,9,HD PM template,
SVC-0407,Fleet PM A - Premium,HVAC,1.3,171.95,true,true,General Service,,10,Common menu service,"menu, inspection"
SVC-0408,Engine Diagnostic,Brakes,3.5,147.42,true,false,Heavy Duty,26343,,,
SVC-0409,Out of Province Inspection,Engine,7.1,119.05,false,false,Heavy Duty,,,Bundle item,legacy
SVC-0410,Alternator Replacement,Inspection,0.5,154.03,false,true,General Service,28202,9,HD PM template,"fleet, upsell"
SVC-0411,Check Engine Light Scan,Inspection,5.2,146.03,false,true,Fleet,14350,,Bundle item,"menu, upsell"
SVC-0412,Battery Test,HVAC,2.1,182.49,false,true,General Service,16334,,Common menu service,menu
SVC-0413,Safety Inspection,Maintenance,4.5,149.9,false,true,Inspection Lane,23329,3,Legacy canned job from prior system,
SVC-0414,Alternator Replacement,Maintenance,1.6,134.94,false,false,Fleet,39244,,,legacy
SVC-0415,Fleet PM B,Diagnostics,1.0,118.84,false,true,Inspection Lane,,17,Bundle item,
SVC-0416,Steering Rack Replacement,Inspection,7.3,189.92,false,true,General Service,,,HD PM template,
SVC-0417,Safety Inspection,Driveline,4.8,190.55,false,true,Heavy Duty,19177,,Legacy canned job from prior system,"legacy, upsell"
SVC-0418,Oil Change,Driveline,8.3,115.77,false,false,General Service,34919,,,
SVC-0419,Engine Diagnostic,Engine,4.1,136.3,false,false,General Service,,19,,
SVC-0420,Fleet PM B - Premium,Diagnostics,5.5,160.87,true,true,Fleet,19133,11,HD PM template,"legacy, fleet"
